Dist Code,District Name,Org Level,CESA,Cty Code,County Name,School Year,Days of Instruction,Actual Days of Attendance,Possible Days of Attendance,ADA,ADM
1659,Ellsworth Community,D,11,47,Pierce,2018-2019,164,242732.5,254309.5,1480.08,1550.67
1666,Elmwood,D,11,47,Pierce,2018-2019,171,51371,53676,300.42,313.89
1673,Royall,D,4,29,Juneau,2018-2019,172,80339.5,83257,467.09,484.05
1687,Erin,D,6,66,Washington,2018-2019,169,70508.5,72981,417.21,431.84
1694,Evansville Community,D,2,53,Rock,2018-2019,177,289036,303972,1632.97,1717.36
1729,Fall Creek,D,10,18,Eau Claire,2018-2019,170,134950,141020,793.82,829.53
1736,Fall River,D,5,11,Columbia,2018-2019,177,72151.5,75170,407.64,424.69
1813,Fennimore Community,D,3,22,Grant,2018-2019,166,129163.5,135307,778.09,815.1
1848,Lac du Flambeau #1,D,9,63,Vilas,2018-2019,178,83371,88751,468.38,498.6
1855,Florence County,D,8,19,Florence,2018-2019,179,62972,66020,351.8,368.83
1862,Fond du Lac,D,6,20,Fond du Lac,2018-2019,175,1147726,1222754,6558.43,6987.17
1870,Fontana J8,D,2,64,Walworth,2018-2019,174,33472.5,35873,192.37,206.17
1883,Fort Atkinson,D,2,28,Jefferson,2018-2019,173,484488,507443,2800.51,2933.2
1890,Fox Point J2,D,1,40,Milwaukee,2018-2019,173,132629.5,138774.5,766.64,802.16
1897,Maple Dale-Indian Hill,D,1,40,Milwaukee,2018-2019,178,80089.5,83468,449.94,468.92
1900,Franklin Public,D,1,40,Milwaukee,2018-2019,176,750646,786744.5,4265.03,4470.14
1939,Frederic,D,11,48,Polk,2018-2019,168,66997.5,71155.5,398.79,423.54
1945,Northern Ozaukee,D,1,45,Ozaukee,2018-2019,168,140976.5,145890,839.15,868.39
1953,Freedom Area,D,6,44,Outagamie,2018-2019,170,249487.5,262889,1467.57,1546.41
2009,Galesville-Ettrick-Trempealeau,D,4,61,Trempealeau,2018-2019,173,226233.5,236621,1307.71,1367.75
2016,North Crawford,D,3,12,Crawford,2018-2019,170,69687.5,73854,409.93,434.44
2044,Geneva J4,D,2,64,Walworth,2018-2019,179,29475,31026,164.66,173.33
2051,Genoa City J2,D,2,64,Walworth,2018-2019,168,77085,81238,458.84,483.56
2058,Germantown,D,1,66,Washington,2018-2019,172,634993.5,666746,3691.82,3876.43
2114,Gibraltar Area,D,7,15,Door,2018-2019,169,85017,89439,503.06,529.22
2128,Gillett,D,8,42,Oconto,2018-2019,170,79712.5,84433,468.9,496.66
2135,Gilman,D,10,60,Taylor,2018-2019,173,53845.5,55975,311.25,323.55
2142,Gilmanton,D,10,6,Buffalo,2018-2019,171,24010.5,25131,140.41,146.96
2177,Nicolet UHS,D,1,40,Milwaukee,2018-2019,176,179868.5,188469,1021.98,1070.85
2184,Glendale-River Hills,D,1,40,Milwaukee,2018-2019,176,175608.5,184774,997.78,1049.85
2198,Glenwood City,D,11,55,Saint Croix,2018-2019,167,104365,110450.5,624.94,661.38
2212,Goodman-Armstrong Creek,D,8,38,Marinette,2018-2019,175,18920,20343,108.11,116.25
2217,Grafton,D,1,45,Ozaukee,2018-2019,179,345815,358227,1931.93,2001.27
2226,Granton Area,D,10,10,Clark,2018-2019,171,36333,37759,212.47,220.81
2233,Grantsburg,D,11,7,Burnett,2018-2019,170,260874.5,270508,1534.56,1591.22
2240,Black Hawk,D,3,33,Lafayette,2018-2019,173,65369.5,66873,377.86,386.55
2289,Green Bay Area Public,D,7,5,Brown,2018-2019,173,3170426,3447790,18326.16,19929.42
2296,Greendale,D,1,40,Milwaukee,2018-2019,172,451552,469833.5,2625.3,2731.59
2303,Greenfield,D,1,40,Milwaukee,2018-2019,176,629141,664960.5,3574.66,3778.18
2310,Green Lake,D,6,24,Green Lake,2018-2019,171,48173.5,50868,281.72,297.47
2394,Greenwood,D,10,10,Clark,2018-2019,184,54775.5,57450.5,297.69,312.23
2415,Gresham,D,8,58,Shawano,2018-2019,171,44723.5,47876,261.54,279.98
2420,Hamilton,D,1,67,Waukesha,2018-2019,177,788558,823064.5,4455.13,4650.08
2422,Saint Croix Central,D,11,55,Saint Croix,2018-2019,165,274185.5,286237,1661.73,1734.77
2436,Hartford UHS,D,6,66,Washington,2018-2019,171,214296.5,228274,1253.2,1334.94
2443,Hartford J1,D,6,66,Washington,2018-2019,170,274287,289094,1613.45,1700.55
2450,Arrowhead UHS,D,1,67,Waukesha,2018-2019,175,360282.5,370447,2058.76,2116.84
2460,Hartland-Lakeside J3,D,1,67,Waukesha,2018-2019,176,191484,201530,1087.98,1145.06
2478,Hayward Community,D,12,57,Sawyer,2018-2019,170,330916,350559,1946.56,2062.11
2485,Southwestern Wisconsin,D,3,22,Grant,2018-2019,172,79871,83099,464.37,483.13
2525,Herman-Neosho-Rubicon,D,6,14,Dodge,2018-2019,177,53806.5,55713,303.99,314.76
2527,Highland,D,3,25,Iowa,2018-2019,165,45754.5,47623,277.3,288.62
2534,Hilbert,D,7,8,Calumet,2018-2019,175,76510,79612,437.2,454.93
2541,Hillsboro,D,4,62,Vernon,2018-2019,170,83856,88565,493.27,520.97
2562,Holmen,D,4,32,La Crosse,2018-2019,176,676566,697628,3844.13,3963.8
2570,Holy Hill Area,D,6,66,Washington,2018-2019,173,86776.5,89846,501.6,519.34
2576,Horicon,D,6,14,Dodge,2018-2019,163,103566,108128,635.37,663.36
2583,Hortonville Area,D,6,44,Outagamie,2018-2019,175,633484,660033,3619.91,3771.62
2604,Howard-Suamico,D,7,5,Brown,2018-2019,172,961383,1021291,5589.44,5937.74
2605,Howards Grove,D,7,59,Sheboygan,2018-2019,177,153929,157366,869.66,889.07
2611,Hudson,D,11,55,Saint Croix,2018-2019,172,912542,958863,5305.48,5574.78
2618,Hurley,D,12,26,Iron,2018-2019,172,88584,94391,515.02,548.78
2625,Hustisford,D,6,14,Dodge,2018-2019,175,71536,75004,408.78,428.59
2632,Independence,D,4,61,Trempealeau,2018-2019,166,58550,62048.5,352.71,373.79
2639,Iola-Scandinavia,D,5,68,Waupaca,2018-2019,169,106273.5,109858,628.84,650.05
2646,Iowa-Grant,D,3,25,Iowa,2018-2019,168,113034.5,117012,672.82,696.5
2660,Ithaca,D,3,52,Richland,2018-2019,170,70588.5,75052,415.23,441.48
2695,Janesville,D,2,53,Rock,2018-2019,171,1601868.5,1736334.5,9367.65,10154
2702,Jefferson,D,2,28,Jefferson,2018-2019,171,292409,307537,1709.99,1798.46
2730,Johnson Creek,D,2,28,Jefferson,2018-2019,172,104248,109204,606.09,634.91
2737,Juda,D,2,23,Green,2018-2019,175,47642.5,49710,272.24,284.06
2744,Dodgeland,D,6,14,Dodge,2018-2019,168,119617,127215,712.01,757.23
2758,Kaukauna Area,D,6,44,Outagamie,2018-2019,170,607861,635001,3575.65,3735.3
2793,Kenosha,D,1,30,Kenosha,2018-2019,173,3414519,3674567,19737.1,21240.27
2800,Kewaskum,D,6,66,Washington,2018-2019,169,289900,304609,1715.38,1802.42
2814,Kewaunee,D,7,31,Kewaunee,2018-2019,170,154990.5,162469,911.71,955.7
2828,Kiel Area,D,7,36,Manitowoc,2018-2019,183,212064,221253,1158.82,1209.03
2835,Kimberly Area,D,6,44,Outagamie,2018-2019,175,861154,894136.5,4920.88,5109.35
2842,Kohler,D,7,59,Sheboygan,2018-2019,175,116682.5,120382,666.76,687.9
2849,La Crosse,D,4,32,La Crosse,2018-2019,170,1010947,1076904,5946.75,6334.73
2856,Ladysmith,D,10,54,Rusk,2018-2019,174,122929,131376,706.49,755.03
2863,La Farge,D,4,62,Vernon,2018-2019,165,36813,38775,223.11,235
2884,Lake Geneva-Genoa City UHS,D,2,64,Walworth,2018-2019,171,229200,241402.5,1340.35,1411.71
2885,Lake Geneva J1,D,2,64,Walworth,2018-2019,171,310846.5,327510.5,1817.82,1915.27
2891,Lake Holcombe,D,10,9,Chippewa,2018-2019,168,51035,53847,303.78,320.52
2898,Lake Mills Area,D,2,28,Jefferson,2018-2019,171,250814,260467.5,1466.75,1523.2
