SCHOOL_YEAR,AGENCY_TYPE,CESA,COUNTY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,CHARTER_IND,DISTRICT_NAME,SCHOOL_NAME,GROUP_BY,GROUP_BY_VALUE,REMOVAL_TYPE_DESCRIPTION,TFS_ENROLLMENT_COUNT,REMOVAL_COUNT
2018-19,School District,11,Polk,1939,,[All],No,Frederic,[Districtwide],All Students,All Students,Expulsion with Services Offered,438,3
2018-19,School District,11,Polk,1939,,[All],No,Frederic,[Districtwide],All Students,All Students,Out of School Suspension,438,40
2018-19,School District,6,Outagamie,1953,,[All],No,Freedom Area,[Districtwide],All Students,All Students,Out of School Suspension,1607,3
2018-19,School District,4,Trempealeau,2009,,[All],No,Galesville-Ettrick-Trempealeau,[Districtwide],All Students,All Students,Out of School Suspension,1397,12
2018-19,School District,2,Walworth,2044,,[All],No,Geneva J4,[Districtwide],All Students,All Students,Out of School Suspension,201,1
2018-19,School District,2,Walworth,2051,,[All],No,Genoa City J2,[Districtwide],All Students,All Students,Out of School Suspension,526,19
2018-19,School District,1,Washington,2058,,[All],No,Germantown,[Districtwide],All Students,All Students,Expulsion without Services Offered,3896,1
2018-19,School District,1,Washington,2058,,[All],No,Germantown,[Districtwide],All Students,All Students,Out of School Suspension,3896,91
2018-19,School District,7,Door,2114,,[All],No,Gibraltar Area,[Districtwide],All Students,All Students,Out of School Suspension,531,7
2018-19,School District,8,Oconto,2128,,[All],No,Gillett,[Districtwide],All Students,All Students,Out of School Suspension,514,40
2018-19,School District,10,Taylor,2135,,[All],No,Gilman,[Districtwide],All Students,All Students,Out of School Suspension,326,4
2018-19,School District,10,Buffalo,2142,,[All],No,Gilmanton,[Districtwide],All Students,All Students,Out of School Suspension,150,4
2018-19,School District,1,Milwaukee,2184,,[All],No,Glendale-River Hills,[Districtwide],All Students,All Students,Out of School Suspension,1065,40
2018-19,School District,11,Saint Croix,2198,,[All],No,Glenwood City,[Districtwide],All Students,All Students,Out of School Suspension,687,10
2018-19,School District,8,Marinette,2212,,[All],No,Goodman-Armstrong Creek,[Districtwide],All Students,All Students,Out of School Suspension,115,5
2018-19,School District,1,Ozaukee,2217,,[All],No,Grafton,[Districtwide],All Students,All Students,Out of School Suspension,2071,64
2018-19,School District,10,Clark,2226,,[All],No,Granton Area,[Districtwide],All Students,All Students,Out of School Suspension,233,6
2018-19,School District,11,Burnett,2233,,[All],No,Grantsburg,[Districtwide],All Students,All Students,Out of School Suspension,1463,29
2018-19,School District,7,Brown,2289,,[All],No,Green Bay Area Public,[Districtwide],All Students,All Students,Expulsion with Services Offered,20391,16
2018-19,School District,7,Brown,2289,,[All],No,Green Bay Area Public,[Districtwide],All Students,All Students,Out of School Suspension,20391,2833
2018-19,School District,6,Green Lake,2310,,[All],No,Green Lake,[Districtwide],All Students,All Students,Out of School Suspension,303,1
2018-19,School District,1,Milwaukee,2296,,[All],No,Greendale,[Districtwide],All Students,All Students,Out of School Suspension,2698,99
2018-19,School District,1,Milwaukee,2303,,[All],No,Greenfield,[Districtwide],All Students,All Students,Expulsion with Services Offered,3527,1
2018-19,School District,1,Milwaukee,2303,,[All],No,Greenfield,[Districtwide],All Students,All Students,Expulsion without Services Offered,3527,1
2018-19,School District,1,Milwaukee,2303,,[All],No,Greenfield,[Districtwide],All Students,All Students,Out of School Suspension,3527,237
2018-19,School District,10,Clark,2394,,[All],No,Greenwood,[Districtwide],All Students,All Students,Out of School Suspension,358,3
2018-19,School District,8,Shawano,2415,,[All],No,Gresham,[Districtwide],All Students,All Students,Out of School Suspension,292,29
2018-19,School District,1,Waukesha,2420,,[All],No,Hamilton,[Districtwide],All Students,All Students,Out of School Suspension,4859,94
2018-19,School District,6,Washington,2443,,[All],No,Hartford J1,[Districtwide],All Students,All Students,Out of School Suspension,1706,95
2018-19,School District,6,Washington,2436,,[All],No,Hartford UHS,[Districtwide],All Students,All Students,Expulsion with Services Offered,1344,1
2018-19,School District,6,Washington,2436,,[All],No,Hartford UHS,[Districtwide],All Students,All Students,Out of School Suspension,1344,64
2018-19,School District,1,Waukesha,2460,,[All],No,Hartland-Lakeside J3,[Districtwide],All Students,All Students,Out of School Suspension,1187,10
2018-19,School District,12,Sawyer,2478,,[All],No,Hayward Community,[Districtwide],All Students,All Students,Out of School Suspension,2063,133
2018-19,School District,6,Dodge,2525,,[All],No,Herman-Neosho-Rubicon,[Districtwide],All Students,All Students,Out of School Suspension,318,2
2018-19,School District,3,Iowa,2527,,[All],No,Highland,[Districtwide],All Students,All Students,Out of School Suspension,297,5
2018-19,School District,7,Calumet,2534,,[All],No,Hilbert,[Districtwide],All Students,All Students,Out of School Suspension,457,10
2018-19,School District,4,Vernon,2541,,[All],No,Hillsboro,[Districtwide],All Students,All Students,Out of School Suspension,540,1
2018-19,School District,4,La Crosse,2562,,[All],No,Holmen,[Districtwide],All Students,All Students,Out of School Suspension,3994,67
2018-19,School District,6,Washington,2570,,[All],No,Holy Hill Area,[Districtwide],All Students,All Students,Out of School Suspension,545,5
2018-19,School District,6,Dodge,2576,,[All],No,Horicon,[Districtwide],All Students,All Students,Out of School Suspension,681,22
2018-19,School District,6,Outagamie,2583,,[All],No,Hortonville Area,[Districtwide],All Students,All Students,Expulsion without Services Offered,4011,4
2018-19,School District,6,Outagamie,2583,,[All],No,Hortonville Area,[Districtwide],All Students,All Students,Out of School Suspension,4011,119
2018-19,School District,7,Sheboygan,2605,,[All],No,Howards Grove,[Districtwide],All Students,All Students,Out of School Suspension,907,20
2018-19,School District,7,Brown,2604,,[All],No,Howard-Suamico,[Districtwide],All Students,All Students,Expulsion with Services Offered,6103,3
2018-19,School District,7,Brown,2604,,[All],No,Howard-Suamico,[Districtwide],All Students,All Students,Expulsion without Services Offered,6103,2
2018-19,School District,7,Brown,2604,,[All],No,Howard-Suamico,[Districtwide],All Students,All Students,Out of School Suspension,6103,158
2018-19,School District,11,Saint Croix,2611,,[All],No,Hudson,[Districtwide],All Students,All Students,Out of School Suspension,5614,147
2018-19,School District,12,Iron,2618,,[All],No,Hurley,[Districtwide],All Students,All Students,Out of School Suspension,563,47
2018-19,School District,6,Dodge,2625,,[All],No,Hustisford,[Districtwide],All Students,All Students,Out of School Suspension,438,17
2018-19,School District,4,Trempealeau,2632,,[All],No,Independence,[Districtwide],All Students,All Students,,382,0
2018-19,School District,5,Waupaca,2639,,[All],No,Iola-Scandinavia,[Districtwide],All Students,All Students,Out of School Suspension,665,3
2018-19,School District,3,Iowa,2646,,[All],No,Iowa-Grant,[Districtwide],All Students,All Students,Out of School Suspension,732,10
2018-19,School District,3,Richland,2660,,[All],No,Ithaca,[Districtwide],All Students,All Students,Out of School Suspension,446,31
2018-19,School District,2,Rock,2695,,[All],No,Janesville,[Districtwide],All Students,All Students,Expulsion with Services Offered,10069,2
2018-19,School District,2,Rock,2695,,[All],No,Janesville,[Districtwide],All Students,All Students,Expulsion without Services Offered,10069,3
2018-19,School District,2,Rock,2695,,[All],No,Janesville,[Districtwide],All Students,All Students,Out of School Suspension,10069,967
2018-19,School District,2,Jefferson,2702,,[All],No,Jefferson,[Districtwide],All Students,All Students,Out of School Suspension,1874,108
2018-19,School District,2,Jefferson,2730,,[All],No,Johnson Creek,[Districtwide],All Students,All Students,Out of School Suspension,655,21
2018-19,School District,2,Green,2737,,[All],No,Juda,[Districtwide],All Students,All Students,Out of School Suspension,305,2
2018-19,School District,6,Outagamie,2758,,[All],No,Kaukauna Area,[Districtwide],All Students,All Students,Expulsion with Services Offered,3935,1
2018-19,School District,6,Outagamie,2758,,[All],No,Kaukauna Area,[Districtwide],All Students,All Students,Expulsion without Services Offered,3935,2
2018-19,School District,6,Outagamie,2758,,[All],No,Kaukauna Area,[Districtwide],All Students,All Students,Out of School Suspension,3935,245
2018-19,School District,1,Kenosha,2793,,[All],No,Kenosha,[Districtwide],All Students,All Students,Expulsion with Services Offered,21233,8
2018-19,School District,1,Kenosha,2793,,[All],No,Kenosha,[Districtwide],All Students,All Students,Expulsion without Services Offered,21233,1
2018-19,School District,1,Kenosha,2793,,[All],No,Kenosha,[Districtwide],All Students,All Students,Out of School Suspension,21233,3949
2018-19,School District,1,Waukesha,1376,,[All],No,Kettle Moraine,[Districtwide],All Students,All Students,Out of School Suspension,3868,78
2018-19,School District,6,Washington,2800,,[All],No,Kewaskum,[Districtwide],All Students,All Students,Out of School Suspension,1814,64
