OBJECTID,DISTRICT,explServcsOfer,explNoServcsOfer,OSS,CESA,COUNTY_CODE,COUNTY_NAME,ATHLETIC_CONFERENCE_CODE,ATHLETIC_CONFERENCE_NAME,DISTRICT_CODE,Possible Days of Attendance,ADA,ADM,STUDENT_COUNT,SDID,LEAID,TYPE,SHAPE_Length,SHAPE_Area
82,Delavan-Darien,6,9,255,2,64,Walworth,41,Southern Lakes,1380,336234,1828.12,1954.85,2020,1380,5503640,Unified,111867.647,255411677.8
83,Denmark,no data,no data,38,7,5,Brown,301,North Eastern,1407,272519,1465.9,1513.99,1560,1407,5503660,Unified,124357.6747,364889710.2
84,Dodgeland,no data,no data,34,6,14,Dodge,43,Trailways,2744,127215,712.01,757.23,787,2744,5507260,Unified,166290.2813,220458228.8
85,Dodgeville,no data,no data,98,3,25,Iowa,42,Southwest Wisconsin,1428,212886,1184.85,1237.71,1227,1428,5503690,Unified,233146.0841,486127517.8
381,Dover #1,no data,no data,no data,2,51,Racine,41,Southern Lakes,1449,15666,89.29,93.25,92,1449,5503750,Elementary,26275.75776,29233817.17
86,Drummond Area,no data,no data,8,12,4,Bayfield,20,Indianhead,1491,58462.5,319.52,339.9,353,1491,5503810,Unified,196772.0584,1749271941
87,Durand-Arkansaw,1,1,12,11,46,Pepin,122,Dunn-St. Croix - Large,1499,147793.5,861.95,906.71,959,1499,5503840,Unified,396999.4376,763322415.5
88,East Troy Community,no data,no data,56,2,64,Walworth,36,Rock Valley,1540,275324,1556.17,1629.14,1646,1540,5504020,Unified,85742.23462,239408256.3
89,Eau Claire Area,no data,no data,428,10,18,Eau Claire,4,Big Rivers,1554,1780924.5,9980.79,10728.46,11355,1554,5504050,Unified,272693.771,509493592.4
90,Edgar,no data,no data,1,9,37,Marathon,125,Marawood - North,1561,103906,581.89,597.16,597,1561,5504080,Unified,115090.9189,210794945
91,Edgerton,2,no data,94,2,53,Rock,36,Rock Valley,1568,307224.5,1711.77,1786.19,1879,1568,5504110,Unified,95481.11387,237565079.8
92,Elcho,no data,no data,30,9,34,Langlade,31,Northern Lakes,1582,46912,252.87,269.61,273,1582,5504170,Unified,150790.1885,835269090
93,Eleva-Strum,no data,no data,no data,10,61,Trempealeau,11,Dairyland,1600,110958,623.35,656.56,632,1600,5504200,Unified,142690.1196,324702638.2
94,Elk Mound Area,no data,no data,58,11,17,Dunn,122,Dunn-St. Croix - Large,1645,197067,1102.19,1152.44,1202,1645,5504230,Unified,129689.9341,229466971.5
95,Elkhart Lake-Glenbeulah,no data,no data,1,7,59,Sheboygan,300,Big East,1631,78979,423.37,443.7,439,1631,5504260,Unified,158781.3255,140764620.3
96,Elkhorn Area,no data,no data,94,2,64,Walworth,41,Southern Lakes,1638,578588,3372.8,3443.98,3469,1638,5504290,Unified,119068.7925,227718521.2
97,Ellsworth Community,no data,no data,31,11,47,Pierce,26,Middle Border,1659,254309.5,1480.08,1550.67,1662,1659,5504320,Unified,155791.5502,596654684.6
