SCHOOL_YEAR,AGENCY_TYPE,CESA,COUNTY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,CHARTER_IND,DISTRICT_NAME,SCHOOL_NAME,GROUP_BY,GROUP_BY_VALUE,BEHAVIOR_TYPE,TFS_ENROLLMENT_COUNT,INCIDENTS_COUNT
2018-19,School District,6,Fond du Lac,910,,[All],No,Campbellsport,[Districtwide],All Students,All Students,Endangering Behavior,1335,3
2018-19,School District,6,Fond du Lac,910,,[All],No,Campbellsport,[Districtwide],All Students,All Students,Other Violation of School Rules,1335,27
2018-19,School District,4,Monroe,980,,[All],No,Cashton,[Districtwide],All Students,All Students,Drugs and Alcohol,610,1
2018-19,School District,4,Monroe,980,,[All],No,Cashton,[Districtwide],All Students,All Students,Other Violation of School Rules,610,7
2018-19,School District,3,Grant,994,,[All],No,Cassville,[Districtwide],All Students,All Students,,195,0
2018-19,School District,7,Sheboygan,1029,,[All],No,Cedar Grove-Belgium Area,[Districtwide],All Students,All Students,Endangering Behavior,986,1
2018-19,School District,7,Sheboygan,1029,,[All],No,Cedar Grove-Belgium Area,[Districtwide],All Students,All Students,Other Violation of School Rules,986,3
2018-19,School District,1,Ozaukee,1015,,[All],No,Cedarburg,[Districtwide],All Students,All Students,Assault,3122,2
2018-19,School District,1,Ozaukee,1015,,[All],No,Cedarburg,[Districtwide],All Students,All Students,Drugs and Alcohol,3122,17
2018-19,School District,1,Ozaukee,1015,,[All],No,Cedarburg,[Districtwide],All Students,All Students,Endangering Behavior,3122,4
2018-19,School District,1,Ozaukee,1015,,[All],No,Cedarburg,[Districtwide],All Students,All Students,Other Violation of School Rules,3122,13
2018-19,School District,1,Ozaukee,1015,,[All],No,Cedarburg,[Districtwide],All Students,All Students,Weapon Related,3122,2
2018-19,School District,2,Kenosha,5054,,[All],No,Central/Westosha UHS,[Districtwide],All Students,All Students,Drugs and Alcohol,1126,16
2018-19,School District,2,Kenosha,5054,,[All],No,Central/Westosha UHS,[Districtwide],All Students,All Students,Endangering Behavior,1126,12
2018-19,School District,2,Kenosha,5054,,[All],No,Central/Westosha UHS,[Districtwide],All Students,All Students,Other Violation of School Rules,1126,108
2018-19,School District,2,Kenosha,5054,,[All],No,Central/Westosha UHS,[Districtwide],All Students,All Students,Weapon Related,1126,1
2018-19,School District,12,Price,1071,,[All],No,Chequamegon,[Districtwide],All Students,All Students,Assault,768,1
2018-19,School District,12,Price,1071,,[All],No,Chequamegon,[Districtwide],All Students,All Students,Drugs and Alcohol,768,6
2018-19,School District,12,Price,1071,,[All],No,Chequamegon,[Districtwide],All Students,All Students,Endangering Behavior,768,7
2018-19,School District,12,Price,1071,,[All],No,Chequamegon,[Districtwide],All Students,All Students,Other Violation of School Rules,768,37
2018-19,School District,12,Price,1071,,[All],No,Chequamegon,[Districtwide],All Students,All Students,Weapon Related,768,1
2018-19,School District,11,Barron,1080,,[All],No,Chetek-Weyerhaeuser Area,[Districtwide],All Students,All Students,Assault,989,2
2018-19,School District,11,Barron,1080,,[All],No,Chetek-Weyerhaeuser Area,[Districtwide],All Students,All Students,Drugs and Alcohol,989,2
2018-19,School District,11,Barron,1080,,[All],No,Chetek-Weyerhaeuser Area,[Districtwide],All Students,All Students,Other Violation of School Rules,989,29
2018-19,School District,7,Calumet,1085,,[All],No,Chilton,[Districtwide],All Students,All Students,Assault,1114,1
2018-19,School District,7,Calumet,1085,,[All],No,Chilton,[Districtwide],All Students,All Students,Drugs and Alcohol,1114,3
2018-19,School District,7,Calumet,1085,,[All],No,Chilton,[Districtwide],All Students,All Students,Other Violation of School Rules,1114,22
2018-19,School District,10,Chippewa,1092,,[All],No,Chippewa Falls Area Unified,[Districtwide],All Students,All Students,Assault,5052,5
2018-19,School District,10,Chippewa,1092,,[All],No,Chippewa Falls Area Unified,[Districtwide],All Students,All Students,Drugs and Alcohol,5052,21
2018-19,School District,10,Chippewa,1092,,[All],No,Chippewa Falls Area Unified,[Districtwide],All Students,All Students,Endangering Behavior,5052,76
2018-19,School District,10,Chippewa,1092,,[All],No,Chippewa Falls Area Unified,[Districtwide],All Students,All Students,Other Violation of School Rules,5052,264
2018-19,School District,10,Chippewa,1092,,[All],No,Chippewa Falls Area Unified,[Districtwide],All Students,All Students,Weapon Related,5052,11
2018-19,School District,11,Polk,1120,,[All],No,Clayton,[Districtwide],All Students,All Students,Drugs and Alcohol,344,4
2018-19,School District,11,Polk,1120,,[All],No,Clayton,[Districtwide],All Students,All Students,Other Violation of School Rules,344,1
2018-19,School District,11,Polk,1120,,[All],No,Clayton,[Districtwide],All Students,All Students,Weapon Related,344,1
2018-19,School District,11,Polk,1127,,[All],No,Clear Lake,[Districtwide],All Students,All Students,Endangering Behavior,597,1
2018-19,School District,11,Polk,1127,,[All],No,Clear Lake,[Districtwide],All Students,All Students,Other Violation of School Rules,597,7
2018-19,School District,2,Rock,1134,,[All],No,Clinton Community,[Districtwide],All Students,All Students,Drugs and Alcohol,1140,4
2018-19,School District,2,Rock,1134,,[All],No,Clinton Community,[Districtwide],All Students,All Students,Endangering Behavior,1140,6
2018-19,School District,2,Rock,1134,,[All],No,Clinton Community,[Districtwide],All Students,All Students,Other Violation of School Rules,1140,20
2018-19,School District,2,Rock,1134,,[All],No,Clinton Community,[Districtwide],All Students,All Students,Weapon Related,1140,1
2018-19,School District,8,Waupaca,1141,,[All],No,Clintonville,[Districtwide],All Students,All Students,Assault,1253,29
2018-19,School District,8,Waupaca,1141,,[All],No,Clintonville,[Districtwide],All Students,All Students,Drugs and Alcohol,1253,6
2018-19,School District,8,Waupaca,1141,,[All],No,Clintonville,[Districtwide],All Students,All Students,Endangering Behavior,1253,6
2018-19,School District,8,Waupaca,1141,,[All],No,Clintonville,[Districtwide],All Students,All Students,Other Violation of School Rules,1253,76
2018-19,School District,8,Waupaca,1141,,[All],No,Clintonville,[Districtwide],All Students,All Students,Weapon Related,1253,1
2018-19,School District,4,Buffalo,1155,,[All],No,Cochrane-Fountain City,[Districtwide],All Students,All Students,Assault,620,1
2018-19,School District,4,Buffalo,1155,,[All],No,Cochrane-Fountain City,[Districtwide],All Students,All Students,Endangering Behavior,620,7
2018-19,School District,4,Buffalo,1155,,[All],No,Cochrane-Fountain City,[Districtwide],All Students,All Students,Other Violation of School Rules,620,5
